epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,6784,957,930,962,922,938,1060,1015
2,6784,964,922,1026,962,1001,951,958
3,6784,977,972,906,1003,977,956,993
4,6784,1002,979,915,981,922,1009,976
5,6784,990,915,973,982,988,1013,923
6,6784,967,958,958,966,966,982,987
7,6784,1012,948,949,1009,960,968,938
8,6784,932,995,990,938,951,1012,966
9,6784,988,952,924,969,1016,967,968
10,6784,987,1024,994,918,933,967,961
11,6784,970,1000,968,983,1003,916,944
12,6784,985,992,957,917,1002,964,967
13,6784,997,967,955,947,969,982,967
14,6784,959,919,1006,984,1007,939,970
15,6784,959,949,939,1011,994,975,957
16,6784,888,997,977,982,1038,956,946
17,6784,984,978,995,939,1006,936,946
18,6784,929,984,959,1006,934,988,984
19,6784,1019,946,928,956,954,1013,968
20,6784,958,955,955,912,1026,967,1011
21,6784,1022,961,966,984,979,921,951
22,6784,982,970,1017,947,913,969,986
23,6784,999,930,977,967,974,946,991
24,6784,945,953,979,974,952,998,983
25,6784,977,992,1020,944,920,978,953
26,6784,948,953,1002,941,944,1031,965
27,6784,965,979,975,983,945,990,947
28,6784,958,998,957,903,975,992,1001
29,6784,932,1011,991,944,938,991,977
30,6784,962,994,963,885,989,952,1039
31,6784,976,942,990,930,961,995,990
32,6784,951,966,950,968,950,1005,994
33,6784,979,915,995,1002,994,965,934
34,6784,959,969,951,1026,948,978,953
35,6784,951,992,990,1006,897,991,957
36,6784,956,965,968,989,970,1003,933
37,6784,944,1004,952,939,1007,980,958
38,6784,985,936,941,927,976,994,1025
39,6784,937,1020,960,950,996,947,974
40,6784,957,998,954,964,993,965,953
41,6784,956,979,1029,986,915,997,922
42,6784,1004,961,938,944,978,999,960
43,6784,907,1003,916,964,997,1012,985
