epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,6784,968,928,949,999,928,1017,995
2,6784,963,969,994,956,949,978,975
3,6784,984,975,961,972,950,983,959
4,6784,1010,957,962,954,1010,921,970
5,6784,988,944,986,960,954,951,1001
6,6784,942,980,898,1010,985,972,997
7,6784,978,977,970,975,961,997,926
8,6784,986,951,963,962,1005,985,932
9,6784,949,966,932,1028,939,959,1011
10,6784,971,961,1023,986,898,978,967
11,6784,973,973,963,955,978,961,981
12,6784,978,964,971,986,960,983,942
13,6784,946,989,977,1033,938,917,984
14,6784,947,983,954,960,958,983,999
15,6784,978,1006,1026,948,905,984,937
16,6784,1003,958,951,927,977,996,972
17,6784,962,942,973,985,984,951,987
